2015-05-08;Norway;Trondheim;Jazzfest Trondheim;TJO and Ole Morten Vågan;;;
2015-05-24;Germany;Moers;Moers Festival;TJO and Sofia Jernberg;;;
2015-05-26;Norway;Trondheim;Fri Form;Streifenjunko;;streifenjunko;
2015-07-13;Norway;Molde;Molde Jazz Festival;TJO and Espen Reinertsen;;;
2015-08-28;Norway;Oslo;Deichmanske bibliotek;With Vilde and Inga;;;
2015-09-04;Norway;Kristiansand;Punkt festival;With Aernoudt Jacobs;;;
2015-09-12;France;Rivières;Baignade Interdite Festival;Streifenjunko;;streifenjunko;
2015-10-11;Norway;Oslo;Caféteatret/Kampenjazz;Christian Wallumrød Ensemble;;;
2015-10-16;Norway;Nyksund;Ny Musikk;Christian Wallumrød Ensemble;;;
2015-10-18;Germany;Cologne;Stadtgarten;Christian Wallumrød Ensemble;;;
2015-10-24;Germany;Munich;Offene Ohren;Streifenjunko;;streifenjunko;
2015-11-04;Norway;Trondheim;Dokkhuset;TJO and Christian Wallumrød;;;
2015-11-05;Norway;Oslo;Victoria;TJO and Christian Wallumrød;;;
2015-11-06;Norway;Bergen;USF;TJO and Christian Wallumrød;;;
2015-12-03;Norway;Oslo;Victoria;More & More & More & The Instant Gratification;;;
2015-12-06;Norway;Oslo;Kampenjazz;With Skrap;;;
